PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
86580,20200127,NVDA,NVIDIA CORP,240.20000,-0.041041,4
86580,20200128,NVDA,NVIDIA CORP,247.97000,0.032348,4
86580,20200129,NVDA,NVIDIA CORP,245.53999,-0.009800,4
86580,20200130,NVDA,NVIDIA CORP,245.81000,0.001100,4
86580,20200131,NVDA,NVIDIA CORP,236.42999,-0.038160,4
86580,20200203,NVDA,NVIDIA CORP,240.33000,0.016495,4
86580,20200204,NVDA,NVIDIA CORP,247.13000,0.028294,4
86580,20200205,NVDA,NVIDIA CORP,250.75999,0.014689,4
86580,20200206,NVDA,NVIDIA CORP,254.24500,0.013898,4
86580,20200207,NVDA,NVIDIA CORP,251.59000,-0.010443,4
86580,20200210,NVDA,NVIDIA CORP,262.97000,0.045232,4
86580,20200211,NVDA,NVIDIA CORP,267.89001,0.018709,4
86580,20200212,NVDA,NVIDIA CORP,272.54001,0.017358,4
86580,20200213,NVDA,NVIDIA CORP,270.78000,-0.006458,4
86580,20200214,NVDA,NVIDIA CORP,289.79001,0.070205,4
86580,20200218,NVDA,NVIDIA CORP,296.57001,0.023396,4
86580,20200219,NVDA,NVIDIA CORP,314.70001,0.061132,4
86580,20200220,NVDA,NVIDIA CORP,308.70001,-0.019066,4
86580,20200221,NVDA,NVIDIA CORP,294.07001,-0.047392,4
86580,20200224,NVDA,NVIDIA CORP,273.28000,-0.070697,4
86580,20200225,NVDA,NVIDIA CORP,262.04999,-0.041093,4
86580,20200226,NVDA,NVIDIA CORP,267.64999,0.021370,4
86580,20200227,NVDA,NVIDIA CORP,252.60001,-0.055632,4
86580,20200228,NVDA,NVIDIA CORP,270.07001,0.069161,4
86580,20200302,NVDA,NVIDIA CORP,276.42999,0.023549,4
86580,20200303,NVDA,NVIDIA CORP,265.89001,-0.038129,4
86580,20200304,NVDA,NVIDIA CORP,284.51001,0.070029,4
86580,20200305,NVDA,NVIDIA CORP,273.29001,-0.039436,4
86580,20200306,NVDA,NVIDIA CORP,266.04001,-0.026529,4
86580,20200309,NVDA,NVIDIA CORP,245.44000,-0.077432,4
86580,20200310,NVDA,NVIDIA CORP,261.07999,0.063722,4
86580,20200311,NVDA,NVIDIA CORP,246.47000,-0.055960,4
86580,20200312,NVDA,NVIDIA CORP,216.31000,-0.122368,4
86580,20200313,NVDA,NVIDIA CORP,240.84000,0.113402,4
86580,20200316,NVDA,NVIDIA CORP,196.39999,-0.184521,4
86580,20200317,NVDA,NVIDIA CORP,217.27000,0.106263,4
86580,20200318,NVDA,NVIDIA CORP,202.82001,-0.066507,4
86580,20200319,NVDA,NVIDIA CORP,212.97000,0.050044,4
86580,20200320,NVDA,NVIDIA CORP,205.75000,-0.033901,4
86580,20200323,NVDA,NVIDIA CORP,212.69000,0.033730,4
86580,20200324,NVDA,NVIDIA CORP,249.17999,0.171564,4
86580,20200325,NVDA,NVIDIA CORP,245.62000,-0.014287,4
86580,20200326,NVDA,NVIDIA CORP,257.23999,0.047309,4
86580,20200327,NVDA,NVIDIA CORP,252.73000,-0.017532,4
86580,20200330,NVDA,NVIDIA CORP,265.59000,0.050884,4
86580,20200331,NVDA,NVIDIA CORP,263.60001,-0.007493,4
86580,20200401,NVDA,NVIDIA CORP,243.07001,-0.077883,4
86580,20200402,NVDA,NVIDIA CORP,255.47000,0.051014,4
86580,20200403,NVDA,NVIDIA CORP,243.91000,-0.045250,4
86580,20200406,NVDA,NVIDIA CORP,268.39999,0.100406,4
86580,20200407,NVDA,NVIDIA CORP,259.03000,-0.034911,4
86580,20200408,NVDA,NVIDIA CORP,266.95001,0.030576,4
86580,20200409,NVDA,NVIDIA CORP,262.95001,-0.014984,4
86580,20200413,NVDA,NVIDIA CORP,269.85001,0.026241,4
86580,20200414,NVDA,NVIDIA CORP,283.95001,0.052251,4
86580,20200415,NVDA,NVIDIA CORP,280.84000,-0.010953,4
86580,20200416,NVDA,NVIDIA CORP,294.70001,0.049352,4
86580,20200417,NVDA,NVIDIA CORP,292.32001,-0.008076,4
